date,closing_price,fear_greed_index,pageviews,ITB Sentiment Score,Bitcoin_Normalized,galaxy_score,santiment
2023-12-23,43739.54296875,70.0,10966,-0.2658662092624357,13.783003300330035,40,-0.80986776764
2023-12-24,43016.1171875,71.0,10020,-0.1881028938906752,13.281803180318033,40,-0.953084948504
2023-12-25,43613.140625,73.0,11412,-0.2870608397600686,15.465077127867824,40,-0.810124394589
2023-12-26,42520.40234375,71.0,10432,-0.4281629735525375,17.21584057630569,40,-0.452307726037
2023-12-27,43442.85546875,73.0,8657,-0.382219338092148,16.924046668232712,40,0.22257344503
2023-12-28,42627.85546875,73.0,6971,-0.1977591036414565,17.507634484378666,40,-0.447809531847
2023-12-29,42099.40234375,65.0,7432,-0.2747621712367096,16.924046668232712,40,-0.132313315498
2023-12-30,42156.90234375,68.0,7178,-0.0257731958762886,15.173283219794843,40,-0.85123661285
2023-12-31,42265.1875,67.0,6447,-0.2188468691878487,13.714313679429956,40,-0.967907598045
2024-01-01,44167.33203125,65.0,10488,-0.3766434648105182,18.62318840579709,40,-0.417088633998
2024-01-02,44957.96875,71.0,14925,-0.4886260236578708,29.176328502415465,40,0.804895169652
